global_step,epoch,step_in_epoch,phase,phase_blend_from,phase_blend_to,phase_blend_alpha,actor_loss,critic_loss,imag_return,entropy,plan_loss,wm_plan_loss,real_plan_loss,expected_cost,relative_cost,wm_relative_cost,real_relative_cost,margin_loss,wm_rank_loss,real_rank_loss,planner_entropy,actor_vs_planner_agreement,actor_vs_real_agreement,wm_real_best_agreement,real_teacher_mix,valid_action_count_mean,real_expected_cost,real_best_cost,lr,plan_weight,rank_weight,relative_weight,entropy_coef,wall_time,eval_latency_short,eval_reward_short,anchor_eval_latency,anchor_eval_reward,eval_score,best_eval_latency_so_far,best_eval_score_so_far,score_improved,short_guard_ok,anchor_guard_ok,rollback_triggered,is_best_checkpoint
1,0,0,A,A,A,0.0,1.6855882406234741,0.06177216395735741,-2054.953098297119,0.36248207092285156,1.2116737365722656,1.2269957065582275,1.203521966934204,2.054953098297119,0.09284433722496033,0.07883882522583008,0.12604953348636627,1.2728667259216309,1.439210057258606,1.0886600017547607,0.6266637444496155,0.3671875,0.5234375,0.6328125,0.3550781309604645,2.0546875,2.1262519359588623,2.0002026557922363,0.00045,1.1,0.25,0.45,0.02,1776781974.0671997,,,,,,,,,,,,
2,0,1,A,A,A,0.0,1.3649678230285645,0.05554085969924927,-2075.2058029174805,0.4102238416671753,0.9904756546020508,1.002441644668579,0.9829027652740479,2.0752058029174805,0.08380734920501709,0.06627365946769714,0.12382020056247711,0.9837433099746704,1.1060996055603027,0.852933406829834,0.5954900979995728,0.3828125,0.5546875,0.703125,0.34453123807907104,2.0,2.079101085662842,1.9552810192108154,0.00045,1.1,0.25,0.45,0.02,1776781974.0826151,,,,,,,,,,,,
3,0,2,A,A,A,0.0,1.1714048385620117,0.05217491090297699,-2088.061571121216,0.4938107132911682,0.872452437877655,0.876190721988678,0.8725188970565796,2.088061571121216,0.0791691392660141,0.06020569056272507,0.1196053996682167,0.743828535079956,0.7755669355392456,0.7307649850845337,0.6136891841888428,0.5078125,0.5703125,0.671875,0.34921878576278687,1.9921875,2.1208481788635254,2.0012426376342773,0.00045,1.1,0.25,0.45,0.02,1776781974.0947864,,,,,,,,,,,,
4,0,3,A,A,A,0.0,0.9513072371482849,0.04556954652070999,-1918.7440872192383,0.4924892783164978,0.7255100011825562,0.7277393341064453,0.7255083322525024,1.9187440872192383,0.06671907752752304,0.050348229706287384,0.10068488121032715,0.5322898030281067,0.5458441972732544,0.5329982042312622,0.5661634206771851,0.5625,0.5703125,0.703125,0.34453126788139343,1.9296875,1.9638738632202148,1.8631889820098877,0.00045,1.1,0.25,0.45,0.02,1776781974.1068444,,,,,,,,,,,,
5,0,4,A,A,A,0.0,0.8844857811927795,0.04290022328495979,-2123.8198280334473,0.5601940751075745,0.7068350911140442,0.7034812569618225,0.7134466171264648,2.1238198280334473,0.06309639662504196,0.03867486119270325,0.1067466288805008,0.359110563993454,0.33393824100494385,0.40553855895996094,0.6167116761207581,0.640625,0.6328125,0.734375,0.33984375,2.0,2.1516687870025635,2.044922113418579,0.00045,1.1,0.25,0.45,0.02,1776781974.1178443,,,,,,,,,,,,
6,0,5,A,A,A,0.0,0.8399618268013,0.02498520538210869,-1900.8033275604248,0.5233412384986877,0.6859992742538452,0.6810239553451538,0.6877084970474243,1.9008033275604248,0.05461809039115906,0.03515051305294037,0.09047397971153259,0.28500521183013916,0.22270670533180237,0.37154823541641235,0.5935773849487305,0.734375,0.6328125,0.703125,0.34453126788139343,1.96875,1.9622492790222168,1.8717751502990723,0.00045,1.1,0.25,0.45,0.02,1776781974.1289005,,,,,,,,,,,,
7,0,6,A,A,A,0.0,0.8563376069068909,0.06300461292266846,-1945.0414180755615,0.545142650604248,0.6993204355239868,0.6954020261764526,0.7034068703651428,1.9450414180755615,0.06701596081256866,0.035860635340213776,0.12452381104230881,0.27132320404052734,0.1946873664855957,0.38686883449554443,0.6062378883361816,0.6953125,0.625,0.6640625,0.35039061307907104,2.015625,2.0154480934143066,1.8909242153167725,0.00045,1.1,0.25,0.45,0.02,1776781974.137633,,,,,,,,,,,,
8,0,7,A,A,A,0.0,0.7406203746795654,0.026827946305274963,-1918.0922508239746,0.498043030500412,0.610254168510437,0.6037195920944214,0.6164228916168213,1.9180922508239746,0.05503198504447937,0.029342731460928917,0.0996728241443634,0.21814879775047302,0.12384005635976791,0.34883058071136475,0.5447074770927429,0.78125,0.625,0.75,0.3375000059604645,1.890625,1.9942266941070557,1.894553780555725,0.00045,1.1,0.25,0.45,0.02,1776781974.1495807,,,,,,,,,,,,
9,0,8,A,A,A,0.0,0.8545069694519043,0.01903935894370079,-2166.7826175689697,0.561387836933136,0.7151397466659546,0.7015742659568787,0.7290008068084717,2.1667826175689697,0.05027741938829422,0.02993261069059372,0.0836581289768219,0.22582435607910156,0.11938734352588654,0.36587417125701904,0.6350740194320679,0.8046875,0.6171875,0.6484375,0.35273438692092896,2.0625,2.1553258895874023,2.0716676712036133,0.00045,1.1,0.25,0.45,0.02,1776781974.1595805,,,,,,,,,,,,
10,0,9,A,A,A,0.0,0.7546172738075256,0.02712112106382847,-1915.1170253753662,0.5275815725326538,0.6307291984558105,0.6237843632698059,0.6357638835906982,1.9151170253753662,0.050534240901470184,0.02987285703420639,0.08668667078018188,0.19450552761554718,0.09909892082214355,0.3247053921222687,0.5741027593612671,0.8203125,0.65625,0.7109375,0.34335941076278687,1.9375,1.974739670753479,1.8880529403686523,0.00045,1.1,0.25,0.45,0.02,1776781974.1709166,,,,,,,,,,,,
11,0,10,A,A,A,0.0,0.7898197770118713,0.01890319399535656,-2122.5838661193848,0.5617088675498962,0.6629443168640137,0.6562356948852539,0.6684852242469788,2.1225838661193848,0.05607926473021507,0.03480412811040878,0.09375126659870148,0.18631821870803833,0.10762542486190796,0.29579269886016846,0.6089105010032654,0.8125,0.6328125,0.734375,0.33984375,2.0078125,2.141876220703125,2.0481247901916504,0.00045,1.1,0.25,0.45,0.02,1776781974.186982,,,,,,,,,,,,
